path_idx,type,color,width,vx,vy
2,s,0.3922|0.7098|0.9647,2.142859935760498,526.1680,363.9844
2,s,0.3922|0.7098|0.9647,2.142859935760498,525.2539,363.9531
2,s,0.3922|0.7098|0.9647,2.142859935760498,524.3398,363.9258
2,s,0.3922|0.7098|0.9647,2.142859935760498,523.4297,363.9062
2,s,0.3922|0.7098|0.9647,2.142859935760498,522.5195,363.8867
2,s,0.3922|0.7098|0.9647,2.142859935760498,521.6094,363.8750
2,s,0.3922|0.7098|0.9647,2.142859935760498,520.7031,363.8672
2,s,0.3922|0.7098|0.9647,2.142859935760498,519.7969,363.8672
2,s,0.3922|0.7098|0.9647,2.142859935760498,518.8906,363.8672
2,s,0.3922|0.7098|0.9647,2.142859935760498,517.9883,363.8711
2,s,0.3922|0.7098|0.9647,2.142859935760498,517.0859,363.8828
2,s,0.3922|0.7098|0.9647,2.142859935760498,516.1836,363.8945
2,s,0.3922|0.7098|0.9647,2.142859935760498,515.2852,363.9141
2,s,0.3922|0.7098|0.9647,2.142859935760498,514.3867,363.9336
2,s,0.3922|0.7098|0.9647,2.142859935760498,513.4883,363.9570
2,s,0.3922|0.7098|0.9647,2.142859935760498,512.5938,363.9844
2,s,0.3922|0.7098|0.9647,2.142859935760498,511.6992,364.0117
2,s,0.3922|0.7098|0.9647,2.142859935760498,510.8047,364.0430
2,s,0.3922|0.7098|0.9647,2.142859935760498,509.9141,364.0742
2,s,0.3922|0.7098|0.9647,2.142859935760498,509.0234,364.1055
2,s,0.3922|0.7098|0.9647,2.142859935760498,508.1328,364.1406
2,s,0.3922|0.7098|0.9647,2.142859935760498,507.2461,364.1719
2,s,0.3922|0.7098|0.9647,2.142859935760498,506.3594,364.2070
2,s,0.3922|0.7098|0.9647,2.142859935760498,505.4727,364.2383
2,s,0.3922|0.7098|0.9647,2.142859935760498,504.5898,364.2695
2,s,0.3922|0.7098|0.9647,2.142859935760498,503.7070,364.3008
2,s,0.3922|0.7098|0.9647,2.142859935760498,502.8242,364.3281
2,s,0.3922|0.7098|0.9647,2.142859935760498,501.9414,364.3516
2,s,0.3922|0.7098|0.9647,2.142859935760498,501.0625,364.3750
2,s,0.3922|0.7098|0.9647,2.142859935760498,500.1836,364.3984
2,s,0.3922|0.7098|0.9647,2.142859935760498,499.3086,364.4141
2,s,0.3922|0.7098|0.9647,2.142859935760498,498.4336,364.4258
2,s,0.3922|0.7098|0.9647,2.142859935760498,497.5586,364.4375
2,s,0.3922|0.7098|0.9647,2.142859935760498,496.6836,364.4414
2,s,0.3922|0.7098|0.9647,2.142859935760498,495.8125,364.4414
2,s,0.3922|0.7098|0.9647,2.142859935760498,494.9414,364.4375
2,s,0.3922|0.7098|0.9647,2.142859935760498,494.0742,364.4297
2,s,0.3922|0.7098|0.9647,2.142859935760498,493.2070,364.4180
2,s,0.3922|0.7098|0.9647,2.142859935760498,492.3398,364.3984
2,s,0.3922|0.7098|0.9647,2.142859935760498,491.4727,364.3750
2,s,0.3922|0.7098|0.9647,2.142859935760498,490.6094,364.3477
2,s,0.3922|0.7098|0.9647,2.142859935760498,489.7461,364.3125
2,s,0.3922|0.7098|0.9647,2.142859935760498,488.8828,364.2734
2,s,0.3922|0.7098|0.9647,2.142859935760498,488.0234,364.2305
2,s,0.3922|0.7098|0.9647,2.142859935760498,487.1602,364.1836
2,s,0.3922|0.7098|0.9647,2.142859935760498,486.3047,364.1289
2,s,0.3922|0.7098|0.9647,2.142859935760498,485.4453,364.0742
2,s,0.3922|0.7098|0.9647,2.142859935760498,484.5898,364.0117
2,s,0.3922|0.7098|0.9647,2.142859935760498,483.7344,363.9453
2,s,0.3922|0.7098|0.9647,2.142859935760498,482.8828,363.8750
2,s,0.3922|0.7098|0.9647,2.142859935760498,482.0312,363.8008
